name,company,quantity,price
F12,D,695,0.22
F12,E,719,0.22
F12,F,977,0.21
F12,G,793,0.19
F12,H,591,0.19
F12,I,690,0.2
F12,J,871,0.21
F13,A,645,0.72
F13,B,720,0.78
F13,C,884,0.74
F13,D,0,0.75
F13,E,622,0.76
F13,F,740,0.71
F13,G,932,0.77
F13,H,978,0.72
F13,I,817,0.74
F13,J,649,0.73
F14,A,603,0.37
F14,B,756,0.36
F14,C,889,0.35
F14,D,929,0.34
F14,E,816,0.37
F14,F,535,0.37
F14,G,1000,0.39
F14,H,752,0.35
F14,I,0,0.35
F14,J,877,0.36
F15,A,533,4.7
F15,B,526,5.1
F15,C,567,4.6
F15,D,936,5.1
F15,E,707,5.5
F15,F,633,4.9
F15,G,802,5
F15,H,636,5.2
F15,I,616,5
F15,J,943,5.1
F16,A,946,0.39
F16,B,619,0.37
F16,C,851,0.38
F16,D,0,0.38
F16,E,572,0.37
F16,F,535,0.37
F16,G,553,0.39
F16,H,835,0.36
F16,I,571,0.36
F16,J,693,0.34
L1,A,624,1.9
L1,B,735,2.2
L1,C,971,2.2
L1,D,830,2
L1,E,955,1.7
L1,F,631,2.1
L1,G,904,1.9
L1,H,725,2.1
L1,I,0,1.9
L1,J,974,2.1
L2,A,697,0.18
L2,B,713,0.18
L2,C,726,0.19
L2,D,758,0.18
L2,E,818,0.16
L2,F,969,0.19
L2,G,870,0.14
L2,H,524,0.17
L2,I,515,0.18
L2,J,553,0.15
L3,A,719,3.6
L3,B,507,3.7
L3,C,708,3.5
L3,D,0,3.6
L3,E,806,3.9
L3,F,949,3.6
L3,G,748,3.7
L3,H,596,3.5
L3,I,724,3.5
L3,J,662,3.8
L4,A,839,0.9
L4,B,623,0.93
L4,C,620,0.89
L4,D,633,0.9
L4,E,530,0.92
L4,F,599,0.92
L4,G,0,0.9
L4,H,761,0.88
L4,I,765,0.93
L4,J,723,0.9
L5,A,536,0.36
L5,B,952,0.37
L5,C,996,0.37
L5,D,965,0.35
L5,E,779,0.39
L5,F,557,0.37
L5,G,640,0.39
L5,H,897,0.38
L5,I,655,0.39
L5,J,650,0.38
L6,A,517,5.8
L6,B,0,5.6
L6,C,515,5.6
L6,D,929,5.8
L6,E,624,5.6
L6,F,512,5.6
L6,G,824,5.5
L6,H,840,5.9
L6,I,576,5.5
L6,J,899,5.6
L7,A,873,0.26
L7,B,666,0.28
L7,C,926,0.25
L7,D,0,0.26
L7,E,807,0.25
L7,F,627,0.26
L7,G,681,0.26
L7,H,945,0.28
L7,I,866,0.26
L7,J,850,0.28
L8,A,754,4.1
L8,B,996,4
L8,C,590,4.2
L8,D,0,4
L8,E,742,3.9
L8,F,683,3.9
L8,G,715,4
L8,H,976,4.2
L8,I,648,4.2
L8,J,961,3.9
L9,A,989,0.37
L9,B,792,0.36
L9,C,683,0.39
L9,D,696,0.39
L9,E,825,0.38
L9,F,778,0.38
L9,G,0,0.39
L9,H,509,0.39
L9,I,904,0.39
L9,J,620,0.35
L10,A,561,0.14
L10,B,999,0.13
L10,C,537,0.16
L10,D,703,0.15
L10,E,873,0.12
L10,F,723,0.16
L10,G,558,0.15
L10,H,578,0.17
L10,I,641,0.12
L10,J,781,0.12
L11,A,953,0.95
L11,B,806,0.95
L11,C,0,0.94
L11,D,986,0.91
L11,E,959,0.93
L11,F,859,0.94
L11,G,607,0.96
L11,H,610,0.96
L11,I,877,0.93
L11,J,893,0.94
L12,A,576,6
L12,B,920,5.7
L12,C,717,6
L12,D,533,6
L12,E,677,5.6
L12,F,501,5.6
L12,G,524,5.6
L12,H,0,5.6
L12,I,969,5.6
L12,J,906,5.7
L13,A,659,0.73
L13,B,617,0.75
L13,C,677,0.71
L13,D,864,0.74
L13,E,590,0.74
L13,F,937,0.74
L13,G,708,0.73
L13,H,777,0.73
L13,I,758,0.71
L13,J,0,0.75
L14,A,702,0.83
L14,B,995,0.79
L14,C,683,0.85
L14,D,654,0.79
L14,E,632,0.79
L14,F,627,0.84
L14,G,957,0.85
L14,H,660,0.84
L14,I,721,0.83
L14,J,786,0.83
L15,A,571,0.14
L15,B,0,0.13
L15,C,653,0.16
L15,D,984,0.16
L15,E,708,0.13
L15,F,500,0.13
L15,G,775,0.16
L15,H,995,0.14
L15,I,716,0.16
L15,J,716,0.15
L16,A,830,4.4
L16,B,512,4.4
L16,C,542,4.7
L16,D,939,4.4
L16,E,508,4.8
L16,F,0,4.5
L16,G,643,4.8
L16,H,956,4.6
L16,I,952,4.6
L16,J,642,4.6
L17,A,701,0.42
L17,B,653,0.38
L17,C,996,0.43
L17,D,862,0.4
L17,E,625,0.37
L17,F,964,0.42
L17,G,911,0.37
L17,H,927,0.42
L17,I,643,0.36
L17,J,530,0.4
L18,A,817,2.6
L18,B,634,2.8
L18,C,679,2.6
L18,D,824,2.5
L18,E,981,2.6
L18,F,918,2.8
L18,G,899,2.7
L18,H,836,2.5
L18,I,533,2.9
L18,J,817,2.8
L19,A,666,0.14
L19,B,627,0.13
L19,C,542,0.17
L19,D,711,0.14
L19,E,611,0.11
L19,F,733,0.13
L19,G,518,0.12
L19,H,0,0.15
L19,I,743,0.11
L19,J,628,0.14
